자파,40,184 
 마가,87,188 
 타사,68,181 
 다나,51,196 
 다가,49,168 
 타차,48,188 
 차아,72,177 
 가파,54,164 
 파바,46,158 
 타다,61,170 
 자파,40,166 
 바파,61,154 
 타나,77,160 
 사아,83,146 
 아카,76,148 
 파아,48,153 
 바아,87,162 
 타사,77,176 
 하바,66,159 
 파가,79,195 
 나파,89,183 
 라사,62,151 
 파파,78,162 
 파자,80,196 
 아사,94,175 
 카아,98,182 
 아타,93,191 
 다자,63,151 
 하사,90,164 
 파사,75,186 
 타아,56,175 
 사차,58,180 
 파바,67,193 
 차마,70,188 
 마카,41,145 
 타가,50,196 
 아하,79,148 
 나하,42,147 
 차카,88,195 
 하타,71,175 
 나하,40,148 
 하카,99,152 
 하자,48,166 
 자사,59,183 
 하나,92,170 
 아가,84,161 
 하나,80,184 
 사바,91,197 
 아아,55,162 
 자파,85,172 
 차아,44,182 
 라파,82,145 
 나자,46,155 
 나타,49,157 
 나사,92,140 
 하자,47,159 
 가타,73,153 
 파다,66,157 
 파타,69,192 
 차차,74,183 
 라카,52,158 
 카마,53,195 
 가하,59,199 
 하다,71,189 
 라라,66,149 
 나하,79,196 
 카하,74,175 
 아하,58,142 
 가다,57,176 
 마파,97,151 
 라다,90,141 
 파파,83,193 
 하아,65,147 
 다사,71,185 
 자차,55,184 
 아가,54,161 
 마카,58,198 
 나가,64,157 
 가아,75,163 
 카차,59,187 
 다아,56,153 
 타마,97,145 
 차바,80,153 
 타가,51,150 
 바마,63,144 
 자라,74,159 
 하마,62,154 
 라하,53,145 
 자나,43,172 
 사차,95,186 
 바마,76,167 
 나가,60,189 
 타다,55,164 
 가가,64,159 
 차나,75,170 
 아사,68,181 
 라사,89,175 
 아바,57,183 
 가다,50,159 
 차하,98,172 
 다바,89,174 
 파하,67,147 
 자나,91,198 
 다가,60,173 
 사파,94,196 
 가사,45,188 
 차하,57,159 
 가카,52,193 
 사바,86,185 
 사라,72,171 
 차파,43,188 
 사자,98,185 
 마차,44,149 
 바하,66,185 
 마카,62,162 
 아나,80,184 
 자사,44,175 
 다나,92,188 
 차라,50,189 
 다나,42,195 
 바카,84,185 
 타자,71,166 
 가바,99,175 
 하사,58,173 
 타라,86,141 
 가하,43,167 
 자라,74,190 
 카파,72,144 
 가차,97,184 
 파라,78,188 
 마라,57,140 
 가나,61,166 
 카사,73,179 
 파아,68,156 
 아마,60,180 
 아라,87,155 
 바다,69,143 
 가하,58,186 
 가나,57,170 
 나가,60,169 
 타차,56,172 
 바아,44,144 
 하나,66,143 
 다사,91,173 
 가카,56,162 
 마가,41,143 
 하바,77,191 
 아사,83,196 
 나가,67,168 
 파가,60,195 
 자바,99,197 
 타차,61,169 
 차아,92,184 
 파바,52,170 
 다가,74,178 
 하다,74,194 
 마하,82,144 
 카타,56,195 
 다마,47,161 
 하라,70,146 
 파라,59,164 
 마라,67,171 
 가타,82,148 
 카자,44,165 
 아마,41,187 
 자다,72,164 
 다바,61,196 
 바마,66,179 
 타나,61,174 
 마사,71,155 
 사타,99,179 
 카자,79,197 
 라하,47,162 
 마라,98,199 
 다사,96,153 
 다하,90,171 
 카하,44,156 
 자아,61,187 
 사타,70,173 
 나타,87,143 
 하자,76,190 
 라마,99,141 
 타가,53,163 
 차타,40,149 
